ID;Nazwa;Rzeka;Szerokośćgeograficzna;Długośćgeograficzna;Wysokośćnpm;lat_dec;lon_dec
253170160;Sypniewo;Łobżonka (1884);53 21 52;17 19 49;128.0;53.364444444444445;17.330277777777777
253170210;Chrząstowo;Noteć (188);53 09 40;17 35 01;105.0;53.16111111111111;17.58361111111111
253170320;Lipa;Noteć (188);53 03 02;17 15 27;62.0;53.050555555555555;17.2575
253170330;Sitowiec;Krówka (29276);53 22 08;17 45 15;134.0;53.36888888888889;17.754166666666666
253170340;Iwno;Dopływ z Łankowic (188528);53 01 36;17 25 05;111.0;53.026666666666664;17.418055555555558
253170350;Czyczkowy;Wda (294);53 51 39;17 44 00;137.0;53.86083333333333;17.733333333333334
253170360;Pruszcz;Brda (292);53 26 47;17 49 32;124.0;53.44638888888888;17.825555555555557
253170370;Upiłka;Wda (294);53 56 49;17 56 49;141.0;53.94694444444444;17.946944444444444
253180020;RADOSTOWO;Wisła (2);53 59 22;18 44 50;40.0;53.989444444444445;18.747222222222224
253180040;Starogard Gdański;Wierzyca (298);53 58 56;18 32 56;85.0;53.98222222222223;18.54888888888889
253180060;Czarna Woda;Wda (294);53 50 26;18 05 34;125.0;53.84055555555556;18.092777777777776
253180090;Śliwice;Wda (294);53 42 17;18 10 33;119.0;53.70472222222222;18.175833333333333
253180150;Grudziądz;Wisła (2);53 26 15;18 42 34;25.0;53.4375;18.709444444444443
253180160;Radzyń-Fijewo;Radzyńska Struga (296692);53 22 58;18 56 49;104.0;53.382777777777775;18.946944444444444
253180170;Nowy Jasiniec;Brda (292);53 20 54;18 02 14;90.0;53.348333333333336;18.037222222222223
253180220;Bydgoszcz;Brda (292);53 10 25;18 02 45;55.0;53.17361111111111;18.045833333333334
253180260;Lubiewo;Brda (292);53 27 50;18 01 30;116.0;53.46388888888889;18.025
253180270;Skórcz-Ryzowie;Wierzyca (298);53 47 18;18 32 13;85.0;53.788333333333334;18.536944444444448
253180280;Brzozowo;Wisła (2);53 18 44;18 25 29;85.0;53.31222222222222;18.424722222222222
