LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.;Powiat
445;251180160;Osjaków;Warta (18);51 16 59;18 47 01;156.0;wieluński
446;251180190;Siemianice;Prosna (184);51 10 58;18 08 35;180.0;kępiński
447;251180240;Jastrzygowice;Prosna (184);51 00 04;18 27 25;202.0;oleski
448;251180310;Kiełczygłów;Nieciecz (18292);51 14 14;18 59 06;175.0;pajęczański
449;251180320;Kraszewice;Łużyca (18438);51 31 49;18 12 17;131.0;ostrzeszowski
450;251180330;Działoszyn;Warta (18);51 07 12;18 52 26;191.0;pajęczański
451;251180350;SIERADZ-DZIGORZEW;Warta (18);51 37 27;18 42 17;128.0;sieradzki
452;251190140;Plucice;Luciąża (25452);51 12 13;19 36 07;204.0;piotrkowski
453;251190150;Dobryszyce;Widawka (182);51 08 20;19 25 42;259.0;radomszczański
454;251190160;Przedbórz;Pilica (254);51 05 26;19 52 31;190.0;radomszczański
455;251190190;Łask;Grabia (1828);51 35 08;19 10 43;189.0;łaski
456;251190210;Szczerców;Widawka (182);51 20 27;19 07 09;160.0;bełchatowski
457;251190220;Dobryszyce II;Widawka (182);51 08 51;19 24 30;216.0;radomszczański
458;251190230;Jarosty;Luciąża (25452);51 27 45;19 41 31;197.0;piotrkowski
459;251190240;Wierzbowa;Ner (1832);51 59 12;19 04 46;111.0;poddębicki
460;251190250;Bełchatów;Widawka (182);51 22 47;19 23 49;207.0;bełchatowski
461;251200030;Skierniewice;Bzura (272);51 57 55;20 09 37;128.0;Skierniewice
462;251200080;Białobrzegi;Pilica (254);51 38 54;20 56 25;116.0;białobrzeski
463;251200130;Opoczno;Drzewiczka (2548);51 22 44;20 14 04;200.0;opoczyński
464;251200140;Ruszkowice;Radomka (252);51 20 21;20 39 57;210.0;przysuski
465;251200150;Łaziska;Radomka (252);51 19 26;20 55 33;180.0;szydłowiecki
466;251200170;Chełsty;Czarna (Maleniecka) (2544);51 12 57;20 08 55;220.0;opoczyński
467;251200220;Włochów;Czarna (2544);51 05 56;20 36 44;345.0;konecki
468;251200240;Stanowiska;Czarna (Maleniecka) (2544);51 02 31;20 22 17;305.0;konecki
469;251200250;Suchedniów;Kamienna (234);51 02 59;20 49 50;265.0;skarżyski
470;251200270;Dąbrówka Stara;Pilica (254);51 46 49;20 44 13;174.0;grójecki
471;251200290;Teofilów;Pilica (254);51 31 41;20 10 58;150.0;tomaszowski
472;251200320;Mszczonów;Bzura (272);51 59 03;20 29 50;161.0;żyrardowski
473;251210040;JARCZEW;Wilga (2536);51 48 53;21 58 24;180.0;łukowski
474;251210120;PUŁAWY;Wisła (2);51 24 46;21 57 58;142.0;puławski
475;251210230;Starachowice;Kamienna (234);51 02 30;21 03 21;265.0;starachowicki
476;251210240;Brody Iłżeckie;Kamienna (234);51 01 07;21 11 49;190.0;starachowicki
477;251210320;Kazanów;Iłżanka (236);51 16 42;21 28 03;158.0;zwoleński
478;251220040;Radzyń Podlaski;Tyśmienica (248);51 46 09;22 36 03;150.0;radzyński
479;251220230;Ostrówek-Kolonia;Tyśmienica (248);51 35 37;22 36 01;;lubartowski
480;251220250;Ostrów Lubelski;Tyśmienica (248);51 29 46;22 52 11;157.0;lubartowski
481;251220260;Turze Rogi;Krzna (267144);51 55 37;22 27 50;159.0;łukowski
482;251230120;Bezek;Wieprz (24);51 10 38;23 15 49;224.0;chełmski
483;251230220;Depułtycze Królewskie;Uherka (2671434);51 04 59;23 26 10;216.0;chełmski
484;251230240;Studzianka;Zielawa (2671448);51 55 54;23 12 53;143.0;bialski
485;252140070;Boleszkowice;Dopływ z Boleszkowic (191298);52 43 37;14 34 00;50.0;myśliborski
486;252140090;Kostrzyn Nad Odrą;Maszówek (1894);52 35 55;14 39 40;26.0;gorzowski
487;252140150;Maszewo;Odra (1);52 04 11;14 55 08;68.0;krośnieński
488;252140160;Trzcińsko-Zdrój;Rurzyca (1886592);52 57 52;14 35 17;53.0;gryfiński
489;252140210;Boczów;Rzepia (1786);52 19 01;14 56 19;79.0;sulęciński
